County,Submarket,Neighborhood,Status,Units,End construction,Property name,Street number,Street name,City,Zip, Census tract ,Developer,Property ID
Pierce,Pie,Other Pierce Co,X,82,Jan-2050,Park Place,7001 W,Tapps Hwy E,Bonney Lake,98391, 703.03 ,Azure Green Consultants,4523
Pierce,Pie,North Tacoma,X,136,Jan-2019,Madison25,2502 N,Proctor Street,Tacoma,98406, 605.00 ,Rush Development,4524
King,K-C,Belltown/Dwntn/S Lk Union,X,132,Jan-2050,Civic Square,601,4th Avenue,Seattle,98104, 81.00 ,Bosa Brothers Construction,4526
King,K-E,Mercer Island,X,57,Jan-2050,Shorewood Heights,3209,Shorewood Drive,Mercer Island,98040, 244.00 ,Goodman Real Estate,4528
King,K-C,Capitol Hill/Eastlake,X,77,Apr-2019,Howell,514 E,Howell Street,Seattle,98122, 74.00 ,Blueprint Capital,4531
King,K-S,Rainier Valley,X,111,Sep-2019,Columbia City Place,5201,Rainier Avenue S,Seattle,98118, 103.00 ,Gordian Development,4533
Snohomish,Sno,Marysville/Monroe,R,130,Feb-2019,,11013,State Avenue,Marysville,98271, 528.05 ,Edge Developers,4540
Snohomish,Sno,Edmonds,X,91,Jan-2050,Westgate Village,10032,Edmonds Way,Edmonds,98020, 507.00 ,Henbart LLC,4544
King,K-E,Bellevue-East,U,309,Jun-2017,Sparc - Spring District Phase I,1227,124th Avenue NE,Bellevue,98005, 237.00 ,Security Properties,4551
King,K-N,North Seattle,R,80,Jul-2017,Aegis Ravenna,8511,15th Avenue NE,Seattle,98115, 20.00 ,Aegis Senior Communities,4561
Pierce,Pie,Mid Tacoma,X,90,Sep-2020,,1940,Yakima Avenue,Tacoma,98405, 617.00 ,McCormick International,4567
King,K-S,Rainier Valley,U,177,Jul-2017,Othello Station North I,4200 S,Othello Street,Seattle,98118, 111.01 ,Woodbridge Northwest Communities,4571
King,K-C,Belltown/Dwntn/S Lk Union,X,431,Jan-2050,,1933,5th Avenue,Seattle,98101, 72.00 ,G4 Capital Partners,4576
King,K-C,Belltown/Dwntn/S Lk Union,X,964,Jun-2019,1200 Stewart,1200,Stewart Street,Seattle,98101, 73.00 ,Westbank Projects Corp,4582
King,K-C,Queen Anne,X,32,Oct-2018,,118 W,Mercer Street,seattle,98119, 70.00 ,SeaLevel Properties,4585
King,K-S,Rainier Valley,X,66,Jan-2019,Air & Water,2019,24th Avenue S,Seattle,98144, 95.00 ,Columbia Modern Urban,4592
King,K-S,Beacon Hill,X,96,Mar-2019,Sonata West,4651,Martin Luther King Jr Way S,Seattle,98108, 100.00 ,BDR Capital Partners LLC,4603
King,K-C,Central,U,171,Aug-2017,550 Broadway,550,Broadway,Seattle,98122, 86.00 ,Intracorp,4613
King,K-C,Belltown/Dwntn/S Lk Union,U,166,Dec-2017,Palette Building A,1212,Harrison Street,Seattle,98109, 73.00 ,Holland Residential,4616
King,K-C,First Hill,S,80,Jul-2017,,710,Cherry Street,Seattle,98104, 85.00 ,Plymouth Housing Group,4638
King,K-C,Belltown/Dwntn/S Lk Union,X,900,Sep-2020,1901 Minor,1901,Minor Avenue,Seattle,98101, 73.00 ,Crescent Heights Inspirational Living,4642
King,K-C,Central,U,157,Oct-2017,Twenty20 MAD,2020 E,Madison Street,Seattle,98122, 79.00 ,Lennar Multifamily,4644
King,K-N,University,U,23,Sep-2017,Pomelo Heights,4229,7th Avenue NE,Seattle,98105, 52.00 ,Tsay Development LLC,4645
King,K-S,West Seattle,X,150,Jan-2050,,2501,Harbor Avenue SW,Seattle,98126, 99.00 ,,4651
King,K-S,Burien,X,90,Feb-2019,Emerald Pointe on the Sound - Ph 1,13401,12th Avenue SW,Burien,98146, 276.00 ,Westmark Development,4658
Snohomish,Sno,Edmonds,X,20,Sep-2018,Edmonds Pst Office Apts Ph II,130,2nd Avenue N,Edmonds,98020, 505.00 ,Spee Construction,4666
King,K-C,Belltown/Dwntn/S Lk Union,U,340,Apr-2018,West Edge Tower,1430,2nd Avenue,Seattle,98101, 81.00 ,Urban Visions,4677
Snohomish,Sno,Mountlake Terrace,X,258,Jul-2019,Mountlake Terrace TOD - Phase I,6000,236th Street SW,Mountlake Terrace,98043, 511.00 ,Westridge Land,4678
Snohomish,Sno,Mountlake Terrace,X,160,Oct-2019,Mountlake Terrace TOD - Phase II,6000,236th Street SW,Mountlake Terrace,98043, 511.00 ,Westridge Land,4681
Snohomish,Sno,Mountlake Terrace,X,196,Jul-2020,Mountlake Terrace TOD - Phase III,6000,236th Street SW,Mountlake Terrace,98043, 511.00 ,Westridge Land,4689
King,K-E,Bothell,U,122,Dec-2017,Mercantile,10201,Main Street,Bothell,98011, 218.04 ,Goodman Real Estate,4692
Pierce,Pie,East Tacoma,X,70,Dec-2050,Pacific Ridge,8445,Pacific Avenue,Tacoma,98444, 634.00 ,Benjamin Ryan Communities,4712
King,K-C,Central,U,144,Jun-2018,East Union,2220 E,Union Street,Seattle,98122, 88.00 ,Lake Union Partners,4716
King,K-C,Belltown/Dwntn/S Lk Union,U,314,Jun-2017,Tower 12,2015,2nd Avenue,Seattle,98121, 80.02 ,Continental Properties,4722
King,K-C,Central,X,125,Jan-2050,,1730,19th Avenue,Seattle,98122, 79.00 ,Hardy Development Companies,4723
King,K-N,Greenlake/Wallingford,X,70,Jun-2018,Crew,8228,Green Lake Drive N,Seattle,98103, 27.00 ,Goodman Real Estate,4734
King,K-N,Ballard,U,106,Apr-2017,Keelson,1537 NW,56th Street,Seattle,98107, 47.00 ,Pryde + Johnson,4736
King,K-C,Queen Anne,U,80,Aug-2018,2nd & John,200,2nd Avenue W,Seattle,98119, 71.00 ,Continental Properties,4745
King,K-E,Bellevue-West,U,137,Aug-2018,Bellevue Vuecrest,1000,100th Avenue NE,Bellevue,98004, 238.02 ,Continental Properties,4746
Snohomish,Sno,Thrashers Corner,R,296,Jan-2050,Reserve at Scriber Lake,800,198th Street SW,Lynnwood,98036, 519.15 ,,4749
Pierce,Pie,Puyallup/Sumner,R,182,Apr-2017,Silver Creek,9301,176th Street E,Puyallup,98375, 731.07 ,,4758
King,K-E,Bellevue-East,R,185,Jan-2050,Crossroads Senior Living,15600 NE,8th Street,Bellevue,98008, 232.02 ,,4759
Pierce,Pie,Downtown Tacoma,X,115,Dec-2018,TRAX - Pierce Transit TOD Site,415 E,25th Street,Tacoma,98421, 602.00 ,,4762
King,K-C,Belltown/Dwntn/S Lk Union,U,385,May-2018,Florist Block,1255,Harrison Street,Seattle,98109, 73.00 ,Vulcan Northwest,4766
Pierce,Pie,Fife/Milton/Browns Pt,U,154,Apr-2017,Simon's Mill,2629,Meridian Avenue E,Edgewood,98371, 707.03 ,Rush Development,4780
King,K-SE,Federal Way,T,216,Jan-2050,Federal Way Village,33701,Pacific Highway S,Federal Way,98003, 303.03 ,Magnum Construction,4795
King,K-C,Belltown/Dwntn/S Lk Union,S,50,Jan-2017,Market Front,1501,Pike Place,Seattle,98101, 81.00 ,,4800
King,K-SE,Des Moines,U,89,May-2018,,22325,7th Avenue S,Des Moines,98198, 289.01 ,Ammgen Development Group,4806
King,K-N,North Seattle,U,131,Sep-2017,Parla,9176,Holman Road NW,Seattle,98117, 16.00 ,ConAm,4807
King,K-SE,Renton,U,105,Apr-2017,Lofts at 2nd and Main,207,Main Avenue S,Renton,98057, 253.00 ,Cosmos Development,4808
King,K-C,Belltown/Dwntn/S Lk Union,U,145,Apr-2018,2134,2134,Western Avenue,Seattle,98121, 80.02 ,JDA West,4822
King,K-C,Central,X,38,Jan-2050,,203,24th Avenue E,Seattle,98112, 77.00 ,Ewing & Clark,4824
King,K-S,West Seattle,X,40,Jul-2018,Roxhill,9030,35th Avenue SW,Seattle,98126, 115.00 ,Linardic Design Group,4827
Snohomish,Sno,Lynnwood,X,231,Jan-2050,Evergreen Village,18626,Highway 99,Lynnwood,98037, 516.02 ,TCG Investment LLC,4830
King,K-N,University,U,60,Jun-2017,Roosevelt & 50th,4750,Roosevelt Way NE,Seattle,98105, 53.01 ,A&T Investments,4832
King,K-C,Belltown/Dwntn/S Lk Union,U,92,Jan-2019,3031 Western,3031,Western Avenue,Seattle,98121, 80.01 ,Martin Selig Real Estate,4833
King,K-E,Bellevue-West,X,317,Jan-2050,Cadillac Site I,1001,106th Avenue NE,Bellevue,98004, 238.02 ,MetLife Real Estate Investments,4834
King,K-N,Greenlake/Wallingford,X,23,Jan-2050,,3860,Bridge Way N,Seattle,98103, 54.00 ,Wallingford Mortgage,4866
Pierce,Pie,Puyallup/Sumner,X,105,Jan-2050,Meridian Park Place II,9719,131st Street Ct E,Puyallup,98373, 713.04 ,Bill Riley Communities,4873
King,K-N,North Seattle,X,164,Feb-2019,Artisan,12706,33rd Avenue NE,Seattle,98125, 1.00 ,Lin Properties,4886
King,K-S,Seatac,X,215,Jan-2050,Patterson Place II,3712 S,188th Street,SeaTac,98188, 284.03 ,Schneider Homes,4907
King,K-C,Central,S,111,Jan-2050,duplicate,921 S,Washington Street,Seattle,98104, 91.00 ,Seattle Housing Authority,4908
King,K-C,Belltown/Dwntn/S Lk Union,X,520,Apr-2020,BB6,2300,6th Avenue,Seattle,98121, 72.00 ,HB Capital,4910
King,K-SE,Renton,C,28,Jan-2050,Wayne's Place,17911,140th Avenue SE,Renton,98058, 319.09 ,Schneider Homes,4914
King,K-E,Bellevue-West,U,218,Oct-2017,Lincoln Square II,410,Bellevue Way NE,Bellevue,98004, 238.02 ,Kemper Development,4916
King,K-E,Bellevue-West,R,152,Jan-2050,Pacific Regent II,919,109th Avenue NE,Bellevue,98004, 238.02 ,,4917
Snohomish,Sno,Central Everett,C,34,Jan-2050,,37xx,Rucker Avenue,Everett,98201, 410.00 ,Double Tree Holdings,5043
King,K-E,Bellevue-East,U,618,Sep-2018,Hyde Square,15400 NE,20th Street,Bellevue,98007, 230.00 ,Carmel Partners,5054
King,K-E,Bellevue-West,U,57,Feb-2018,Metro 112 Phase II,288,111th Avenue NE,Bellevue,98004, 238.02 ,Simpson Housing,5055
King,K-E,Bellevue-West,A,40,Jan-2017,Tulum Downs,515,102nd Avenue SE,Bellevue,98004, 239.00 ,Diller Associates,5074
Pierce,Pie,Mid Tacoma,S,127,Jan-2050,Hillside Terrace Expansion,2000 S,G Street,Tacoma,98405, 617.00 ,Tacoma Housing Authority,5077
King,K-C,Capitol Hill/Eastlake,U,70,Aug-2017,Harvard Flats,802 E,Thomas Street,Seattle,98102, 74.00 ,WRP Associates,5080
King,K-S,Rainier Valley,S,40,Jan-2050,Mercy Othello West,6930,Martin Luther King Jr. Way S,Seattle,98118, 111.01 ,Mercy Housing Northwest,5086
King,K-E,Redmond,R,74,Jan-2017,,8550,160th Avenue NE,Redmond,98052, 323.09 ,,5088
King,K-C,Central,X,25,Jun-2019,207 18th,207,18th Avenue,Seattle,98122, 87.00 ,M2K Partners,5091
King,K-E,Bellevue-East,C,176,Apr-2020,Crossroads Village,15751 NE,15th Street,Bellevue,98008, 232.02 ,William Lyon Homes,5092
King,K-E,Factoria,X,346,Jan-2020,Quendall Terminals I,4350,Lake Washington Blvd N,Renton,98056, 247.02 ,Century Pacific,5094
King,K-E,Redmond,X,34,Jan-2050,Stelvio,15815,Bear Creek Parkway,Redmond,98052, 323.09 ,Spee Construction,5107
King,K-C,First Hill,U,195,Feb-2018,Batik,123,Broadway Avenue,Seattle,98122, 85.00 ,Vulcan Northwest,5111
King,K-C,Central,X,236,Mar-2019,Block 3,120,Broadway Avenue,Seattle,98122, 86.00 ,Vulcan Northwest,5113
Snohomish,Sno,Marysville/Monroe,R,55,Jan-2050,Hewitt Retirement Home,10227,20th Street SE,Lake Stevens,98258, 526.04 ,,5116
Pierce,Pie,Mid Tacoma,X,111,Aug-2018,Sixth & Alder,3112,6th Avenue,Tacoma,98406, 612.00 ,Affinity Real Estate Management,5132
King,K-S,White Center,x,61,Jan-2050,Delridge,7100,Delridge Way SW,Seattle,98106, 108.00 ,SU Development,5136
King,K-C,First Hill,U,325,Nov-2018,Broadstone Saxton,1001,James Street,Seattle,98104, 85.00 ,Alliance Residential,5152
King,K-C,First Hill,U,75,Nov-2018,Broadstone Lexington,1050,James Street,Seattle,98104, 85.00 ,Alliance Residential,5173
King,K-N,Greenlake/Wallingford,X,29,Dec-2050,Formosa Roosevelt,831 NE,66th Street,Seattle,98115, 36.00 ,Kathy Chen,5178
King,K-N,University,U,36,Dec-2017,,5221,Ravenna Avenue NE,Seattle,98105, 43.00 ,MRN Homes,5205
King,K-E,Woodinville/Totem Lake,X,200,Jul-2019,Village at Totem Lake - Ph 1,12560,120th Avenue NE,Kirkland,98034, 219.03 ,CenterCal Properties,5206
King,K-C,Capitol Hill/Eastlake,X,34,Jan-2050,1715 12th,1715,12th Avenue,Seattle,98122, 75.00 ,Johnson & Carr,5207
King,K-E,Bellevue-West,U,162,Feb-2018,Mirador,1085,103rd Avenue NE,Bellevue,98004, 238.02 ,Create World America,5208
King,K-C,Belltown/Dwntn/S Lk Union,U,132,Aug-2018,Urban Green Villa,2401,3rd Avenue,Seattle,98121, 80.01 ,Alekson Development Group,5209
King,K-N,University,X,201,Jan-2050,MOD Studios,4510,11th Avenue NE,Seattle,98105, 53.01 ,Pong's Corporation Inc.,5210
King,K-C,Capitol Hill/Eastlake,X,33,Apr-2019,2227 Yale,2227,Yale Avenue E,Seattle,98102, 66.00 ,Marc Coluccio,5212
King,K-S,Rainier Valley,U,155,Mar-2018,CityLine Phase 2,4730,32nd Avenue S,Seattle,98118, 103.00 ,Wolff Company,5216
King,K-C,Belltown/Dwntn/S Lk Union,U,109,Dec-2017,Palette Building B,1232,Harrison Street,Seattle,98109, 73.00 ,Holland Residential,5217
King,K-N,North Seattle,X,67,Apr-2018,,8558,Nesbitt Avenue N,Seattle,98103, 18.00 ,Stratford Company,5218
King,K-C,Belltown/Dwntn/S Lk Union,X,60,Jul-2019,2nd & Bell,2234,2nd Avenue,Seattle,98121, 80.01 ,Minglian Holdings,5219
King,K-N,University,X,28,Jul-2018,15th Avenue,5253,15th Avenue NE,Seattle,98105, 44.00 ,G & C Frost Co.,5222
King,K-C,Capitol Hill/Eastlake,U,27,Feb-2018,,1814 E,John Street,Seattle,98112, 76.00 ,Build Urban,5225
King,K-S,Rainier Valley,U,27,Mar-2018,NOCO 2,4527,Rainier Avenue S,Seattle,98118, 101.00 ,Dwell Development,5226
King,K-S,Rainier Valley,X,242,Jan-2020,Columbia City,3717 S,Alaska Street,Seattle,98118, 103.00 ,Lake Union Partners,5227
King,K-N,North Seattle,C,38,Apr-2018,Beacon Mixed Use,12510,15th Avenue NE,Seattle,98125, 2.00 ,PSW Seattle,5228
King,K-E,Bellevue-East,U,279,Sep-2018,Sparc - Spring District - Phase II,1229,124th Avenue NE,Bellevue,98005, 237.00 ,Security Properties,5229
King,K-S,West Seattle,R,80,Jan-2050,Aegis Living of West Seattle,4700 SW,Admiral Way,Seattle,98116, 97.02 ,Aegis Senior Communities,5231
King,K-C,Capitol Hill/Eastlake,U,80,Nov-2017,Hugo House,1634,11th Avenue,Seattle,98122, 75.00 ,Meriwether Partners,5232
King,K-S,West Seattle,U,104,May-2018,Upton Flats,6058,35th Avenue SW,Seattle,98126, 107.00 ,Shelter Holdings,5233
King,K-E,Woodinville/Totem Lake,X,65,Dec-2018,Chelsea Courte,12411 NE,Totem Lake Way,Kirkland,98034, 219.03 ,Main Street Property Group,5234
King,K-S,West Seattle,X,108,Jul-2019,PCC,2749,California Avenue SW,Seattle,98116, 98.00 ,Madison Development,5237
King,K-N,North Seattle,U,20,Feb-2018,,8543,Midvale Avenue N,Seattle,98103, 18.00 ,Traditional Urban Builders,5238
King,K-N,University,X,61,Jul-2018,,4516,Union Bay Place NE,Seattle,98105, 42.00 ,InCity Properties,5241
King,K-C,Belltown/Dwntn/S Lk Union,X,200,Jan-2050,,2005,5th Avenue,Seattle,98121, 72.00 ,Alekson Development Group,5242
Snohomish,Sno,Lynnwood,C,172,Dec-2050,Central Park,16725,Ash Way,Lynnwood,98037, 518.02 ,Pleasant Creek,5243
King,K-C,Capitol Hill/Eastlake,X,41,Jun-2018,,308,12th Avenue E,Seattle,98102, 75.00 ,Hybrid Architecture,5244
King,K-S,Rainier Valley,R,70,Jan-2050,,5740,Martin Luther King Jr Way S,Seattle,98118, 103.00 ,,5245
King,K-C,Queen Anne,X,105,Jan-2050,Niwa,513,1st Avenue N,Seattle,98109, 71.00 ,Solterra Systems,5246
King,K-N,University,U,40,Nov-2017,Ecoluxe,1319 NE,65th Street,Seattle,98115, 44.00 ,HB Capital,5247
King,K-N,Shoreline,S,59,Jan-2050,Compass at Ronald Commons,17839,Aurora Avenue N,Shoreline,98133, 207.00 ,Compass Housing Alliance,5248
King,K-C,Belltown/Dwntn/S Lk Union,X,61,Sep-2018,Ainsworth & Dunn,2815,Elliott Avenue,Seattle,98121, 80.01 ,Meriwether Partners,5249
King,K-C,Belltown/Dwntn/S Lk Union,X,400,Jul-2019,Convention Center,920,Olive Way,Seattle,98101, 73.00 ,Pine Street Group,5250
King,K-S,West Seattle,U,53,Mar-2018,LIV West Seattle,4801,Fauntleroy Way SW,Seattle,98116, 105.00 ,Paar Development,5251
King,K-C,Capitol Hill/Eastlake,X,45,May-2018,Fran's Lofts,1300 E,Pike Street,Seattle,98122, 75.00 ,Cascade Built,5253
King,K-E,Redmond,U,95,Sep-2017,Heron Flats and Lofts,7662,159th Place,Redmond,98052, 323.09 ,Main Street Property Group,5254
King,K-E,Bothell,X,100,Jan-2050,Junction - Phase II,18501,Bothell Way NE,Bothell,98011, 218.03 ,Main Street Property Group,5255
Snohomish,Sno,Thrashers Corner,X,316,Aug-2019,Avalon North Creek,19720,Bothell Everett Highway,Bothell,98012, 519.19 ,Avalon Bay Communities,5256
King,K-N,North Seattle,C,20,Nov-2017,,11202,Roosevelt Way NE,Seattle,98125, 12.00 ,Noren Development,5257
King,K-N,University,U,20,Sep-2017,Willet,4252,8th Avenue NE,Seattle,98105, 52.00 ,Kamiak Real Estate,5260
Pierce,Pie,Puyallup/Sumner,X,220,Jun-2018,Edgewood Heights I,1801,Meridian Avenue E,Edgewood,98371, 707.01 ,Falk Development,5261
Pierce,Pie,Puyallup/Sumner,X,232,Dec-2019,Edgewood Heights II,1801,Meridian Avenue E,Edgewood,98371, 707.01 ,Falk Development,5262
King,K-N,University,X,74,Aug-2018,,4700,Brooklyn Avenue NE,Seattle,98105, 53.01 ,Fields Holdings,5263
King,K-N,Greenlake/Wallingford,X,45,Aug-2018,Meter,417 NE,73rd Street,Seattle,98115, 36.00 ,Meter LLC,5264
King,K-C,Capitol Hill/Eastlake,X,55,Aug-2018,Capitol Hill Lofts,1820,Boylston Avenue,Seattle,98122, 74.00 ,,5265
King,K-C,Magnolia,X,59,Jun-2018,Werner,3046,17th Avenue W,Seattle,98119, 58.02 ,Kamin Properties,5266
King,K-C,First Hill,X,90,Jun-2018,Pike Flats,722 E,Pike Street,Seattle,98122, 84.00 ,Johnson & Carr,5268
King,K-N,Greenlake/Wallingford,S,884,Jan-2050,,4318,Whitman Court NE,Seattle,98103, 50.00 ,University of Washington Capital Projects,5269
King,K-SE,Auburn,T,294,Jan-2050,Promenade,13200 SE,312th Street,Auburn,98092, 312.05 ,Magnum Construction,5270
King,K-N,Greenlake/Wallingford,U,71,Feb-2018,Luna,6921,Roosevelt Way NE,Seattle,98115, 36.00 ,Blueprint Capital,5271
King,K-S,Beacon Hill,M,33,Apr-2018,ArtWorks,901,Hiawatha Place S,Seattle,98144, 94.00 ,Neiman Taber Architecture,5274
King,K-C,Belltown/Dwntn/S Lk Union,X,436,Jan-2050,,121,Boren Avenue N,Seattle,98109, 73.00 ,H5 Capital,5275
King,K-E,Kirkland,U,128,Apr-2018,Kirkland Main Street,207,Park Lane,Kirkland,98033, 225.00 ,Continental Properties,5276
King,K-C,Belltown/Dwntn/S Lk Union,X,1020,Apr-2022,4th & Columbia,701,4th Avenue,Seattle,98104, 81.00 ,Crescent Heights Inspirational Living,5277
King,K-S,Rainier Valley,R,20,Jan-2050,,5214,42nd Avenue S,Seattle,98118, 103.00 ,Kin on Community Health Care,5278
Pierce,Pie,Parkland/Spanaway,X,162,Mar-2019,Rosemont II,17404,44th Avenue E,Tacoma,98446, 714.06 ,Tarragon,5280
King,K-E,Redmond,U,195,Jul-2018,Redmond Triangle,16450,Redmond Way,Redmond,98052, 323.09 ,Legacy Partners,5281
King,K-C,Capitol Hill/Eastlake,X,32,Jan-2050,,1830 E,Mercer Street,Seattle,98112, 76.00 ,Epic Property Management LLC,5282
King,K-N,Greenlake/Wallingford,R,22,Jan-2017,Hearthstone Expansion,3870,Woodlawn Avenue N,Seattle,98103, 54.00 ,,5284
King,K-C,Capitol Hill/Eastlake,U,36,Jul-2018,Wren,121,15th Avenue E,Seattle,98112, 61.00 ,Isola Capital Management,5285
King,K-N,Greenlake/Wallingford,X,57,Aug-2019,,7011,Roosevelt Way NE,Seattle,98115, 36.00 ,MRN Homes,5286
King,K-C,Belltown/Dwntn/S Lk Union,X,80,Aug-2019,,123,3rd Avenue S,Seattle,98104, 92.00 ,Spectrum Development Solutions,5287
Pierce,Pie,Fircrest/University Place,s,60,Jan-2050,Cottages at University Place,5417,64th Street W,University Place,98467, 723.06 ,,5288
