County,Submarket,Neighborhood,Status,Units,End construction,Property name,Street number,Street name,City,Zip, Census tract ,Developer,Property ID
King,K-SE,Federal Way,T,308,Jan-2050,Uptown Square,1066 S,320th Street,Federal Way,98003, 302.02 ,Magnum Construction,5289
King,K-SE,Kent,R,98,Feb-2018,,17006 SE,Wax Road,Covington,98042, 317.02 ,,5290
King,K-N,Ballard,X,54,Jul-2019,Noren 59th,1501 NW,59th Street,Seattle,98107, 47.00 ,Noren Development,5291
King,K-S,Rainier Valley,X,35,Apr-2018,Pax Futura,3700 S,Hudson Street,Seattle,98118, 103.00 ,Cascade Built,5292
King,K-E,Bellevue-East,R,100,Jan-2050,,2120,116th Avenue NE,Bellevue,98004, 237.00 ,,5293
King,K-N,University,C,244,Jul-2018,University Place at Union Bay,4609,Union Bay Place NE,Seattle,98105, 43.00 ,University Place WA LLC,5294
Snohomish,Sno,Central Everett,H,120,Jan-2050,,1002,Broadway,Everett,98201, 401.00 ,,5295
King,K-N,Ballard,X,22,Jan-2050,,1427 NW,65th Street,Seattle,98117, 33.00 ,Birdhouse Development,5296
King,K-N,Shoreline,S,60,Jan-2050,Ronald Commons,17837,Aurora Avenue N,Shoreline,98133, 207.00 ,,5297
King,K-N,Ballard,M,74,Jan-2018,Riano,5611,17th Avenue NW,Seattle,98107, 47.00 ,Calhoun Properties,5298
King,K-N,Greenlake/Wallingford,R,28,Jan-2050,Hearthstone Retirement,6870,Woodlawn Avenue NE,Seattle,98115, 36.00 ,,5300
King,K-E,Bellevue-West,X,165,Mar-2019,Main Street Flats II,10697,Main Street,Bellevue,98004, 238.01 ,Alamo Manhattan,5301
King,K-S,Rainier Valley,X,140,Jan-2019,Othello Mixed Use,6901,Martin Luther King Jr. Way S,Seattle,98118, 110.00 ,Dynasty Group,5302
King,K-C,Queen Anne,X,128,Aug-2018,Zella,203 W,Republican Street,Seattle,98119, 71.00 ,CJD Investments,5303
King,K-C,First Hill,X,440,Jan-2050,,707,Terry Avenue,Seattle,98104, 85.00 ,Westbank Projects Corp,5305
King,K-C,Belltown/Dwntn/S Lk Union,X,87,Jan-2050,Block 56 North,433,8th Avenue N,Seattle,98109, 72.00 ,Vulcan Northwest,5306
Pierce,Pie,Downtown Tacoma,X,180,Jan-2019,Tacoma Town Center Phase 1,2100,Jefferson Avenue,Tacoma,98402, 616.02 ,North American Asset Management Group,5307
King,K-N,University,U,60,Mar-2018,Stax,5001,Brooklyn Avenue NE,Seattle,98105, 44.00 ,Xander Real Holdings LLC,5308
King,K-S,Rainier Valley,X,84,Feb-2019,,2950 S,Dakota Street,Seattle,98108, 101.00 ,Stratford Company,5310
King,K-S,Rainier Valley,S,81,Jan-2050,,3616,34th Avenue S,Seattle,98144, 101.00 ,SEED (SE Effective Dev),5311
King,K-S,West Seattle,C,44,Dec-2019,Alki Beach Residences,1250,Alki Avenue SW,Seattle,98116, 96.00 ,Solterra Systems,5312
King,K-S,White Center,X,32,Jan-2050,Edric,9021,17th Avenue SW,Seattle,98106, 114.00 ,Arsene Construction,5313
King,K-E,Bellevue-West,X,270,Jan-2020,Four 106,320,106th Avenue NE,Bellevue,98004, 238.02 ,Fana Group of Companies,5314
King,K-C,Central,S,20,Jan-2050,,3603,35th Avenue S,Seattle,98144, 89.00 ,SEED (SE Effective Dev),5316
Pierce,Pie,East Tacoma,X,117,Jan-2050,,7843,Pacific Avenue,Tacoma,98408, 634.00 ,Pacific NW Pro LLC,5317
King,K-E,Bellevue-West,X,124,Sep-2019,Bellevue Parkside,99,102nd Avenue NE,Bellevue,98004, 238.02 ,Continental Properties,5318
King,K-C,Central,X,130,Mar-2021,,208,10th Avenue,Seattle,98122, 86.00 ,WestCorp Construction,5323
King,K-E,Bellevue-East,X,210,Jan-2022,,1215,120th Avenue NE,Bellevue,98005, 237.00 ,Pine Forest Properties,5330
King,K-N,Ballard,U,30,Apr-2017,Vitality on 62nd,1436 NW,62nd Street,Seattle,98107, 33.00 ,Greenbuild Development,5331
King,K-C,Belltown/Dwntn/S Lk Union,A,169,Feb-2017,Cyrene,50,University Street,Seattle,98101, 81.00 ,Mack Urban,5334
King,K-E,Mercer Island,R,89,Sep-2017,Aegis Mercer Island,7445 SE,24th Street,Mercer Island,98040, 243.00 ,Aegis Senior Communities,5336
Snohomish,Sno,Marysville/Monroe,X,48,Mar-2018,Creekside,7021,Pioneer Highway,Stanwood,98292, 533.01 ,Coast Real Estate Services,5340
Pierce,Pie,Downtown Tacoma,X,140,Oct-2019,,1305 S,Fawcett Avenue,Tacoma,98402, 616.01 ,Commencement Bay Development,5341
King,K-S,White Center,X,23,Jun-2018,Shoreline,12260,Ambaum Blvd SW,Burien,98146, 268.02 ,NW Development,5342
King,K-E,Factoria,A,378,Feb-2017,Avalon Newcastle Commons I,6620,Coal Creek Pkwy SE,Newcastle,98059, 250.04 ,Avalon Bay Communities,5344
King,K-E,Factoria,X,272,Aug-2019,Avalon Newcastle Commons II,6620,Coal Creek Pkwy SE,Newcastle,98059, 250.04 ,Avalon Bay Communities,5345
King,K-C,Belltown/Dwntn/S Lk Union,X,48,Mar-2019,Encore,3010,1st Avenue,Seattle,98121, 80.01 ,Performance Properties,5346
Snohomish,Sno,Marysville/Monroe,C,31,Jan-2050,,6100,134th Place SE,Everett,98208, 521.10 ,SLA Properties,5347
King,K-S,Rainier Valley,U,174,Oct-2017,Othello Station North II,4200 S,Othello Street,Seattle,98118, 111.01 ,Woodbridge Northwest Communities,5351
King,K-N,Ballard,X,38,Jan-2050,Salt Ballard,5601,20th Avenue NW,Seattle,98107, 47.00 ,,5356
Snohomish,Sno,Lynnwood,X,140,May-2019,Allegro at Ash Creek II,16525,Ash Way,Lynnwood,98037, 518.02 ,Integral Northwest Corp.,5357
King,K-N,Ballard,U,25,May-2017,,1762 NW,59th Street,Seattle,98107, 47.00 ,MRN Homes,5359
King,K-C,Magnolia,X,237,Jan-2050,Interbay,3435,15th Avenue W,Seattle,98119, 58.01 ,,5360
King,K-S,West Seattle,U,54,Sep-2017,AJ,4505,42nd Avenue SW,Seattle,98116, 105.00 ,CAPCO Investments,5362
King,K-C,Belltown/Dwntn/S Lk Union,U,396,Jan-2018,Stratus,2101,9th Avenue,Seattle,98121, 73.00 ,GID Urban Development Group,5363
King,K-C,Central,M,38,Mar-2017,Modena,2320 E,Madison Street,Seattle,98112, 77.00 ,Calhoun Properties,5367
King,K-N,Greenlake/Wallingford,X,57,Sep-2018,Phinney Flats,6720,Greenwood Avenue N,Seattle,98103, 35.00 ,Johnson & Carr,5368
King,K-C,First Hill,U,60,Feb-2018,Cove,601 E,Pike Street,Seattle,98122, 84.00 ,Solterra Systems,5372
King,K-N,North Seattle,U,27,Jun-2018,Mid Town,8820,Aurora Avenue N,Seattle,98103, 18.00 ,William Lilleness,5373
King,K-N,University,C,75,Jan-2050,,3300 NE,65th Street,Seattle,98115, 38.00 ,Polygon Northwest,5377
King,K-C,Belltown/Dwntn/S Lk Union,S,40,Jan-2050,,1901,Western Avenue,Seattle,98101, 81.00 ,,5378
King,K-N,University,U,69,Aug-2017,5260 Mixed Use,5260,University Way NE,Seattle,98105, 44.00 ,Ying Development,5381
King,K-C,Central,S,100,Jan-2050,,221,10th Avenue,Seattle,98122, 86.00 ,Seattle Housing Authority,5387
King,K-S,West Seattle,X,49,Aug-2019,Admiral Station,2715,California Avenue SW,Seattle,98116, 98.00 ,BCK Investments,5388
King,K-C,Magnolia,S,97,Jan-2050,,2208,15th Avenue W,Seattle,98119, 58.02 ,Downtown Emergency Services Center,5390
King,K-N,Ballard,U,93,Jul-2017,Lillehammer,7016,15th Avenue NW,Seattle,98117, 30.00 ,Gramor Development,5399
King,K-C,Belltown/Dwntn/S Lk Union,A,294,Jan-2017,Modera South Lake Union,435,Dexter Avenue N,Seattle,98109, 72.00 ,Mill Creek Residential Trust,5402
King,K-N,Ballard,X,54,Jan-2019,Crown Hill Mixed Use,7730,15th Avenue NW,Seattle,98117, 30.00 ,Lake Union Partners,5404
King,K-E,Bothell,A,94,Feb-2017,Linq at Spencer Square,18151,68th Avenue NE,Kenmore,98028, 216.00 ,Main Street Property Group,5409
King,K-C,Belltown/Dwntn/S Lk Union,X,292,Dec-2050,901 Harrison,901,Harrison Street,Seattle,98109, 72.00 ,Vulcan Northwest,5412
King,K-N,North Seattle,X,75,Jun-2019,,14337,32nd Avenue NE,Seattle,98125, 1.00 ,Stratford Company,5413
King,K-C,Belltown/Dwntn/S Lk Union,U,450,Jun-2018,2202,2202,8th Avenue,Seattle,98121, 72.00 ,Clise Properties,5415
Snohomish,Sno,Mill Creek,U,63,May-2017,Meadows at Martha Lake,16202,Meadow Road,Lynnwood,98087, 417.02 ,First Northwest Development,5418
King,K-N,Ballard,X,25,Jan-2050,,2417 NW,57th Street,Seattle,98107, 32.00 ,Mid City Builders,5420
King,K-C,Belltown/Dwntn/S Lk Union,U,393,Oct-2017,AMLI Arc,1810,Boren Avenue,Seattle,98101, 73.00 ,AMLI Residential,5421
King,K-C,Belltown/Dwntn/S Lk Union,C,382,Jun-2019,Nexus Tower,1806,Minor Avenue,Seattle,98101, 73.00 ,Burrard Group,5425
King,K-C,Queen Anne,R,124,Jan-2050,,2900,3rd Avenue W,Seattle,98119, 60.00 ,Aegis Senior Communities,5434
King,K-S,Burien,X,90,Mar-2020,Emerald Pointe on the Sound - Ph 2,13401,12th Avenue SW,Burien,98146, 276.00 ,Westmark Development,5436
King,K-C,Queen Anne,U,45,Jun-2017,Garden Court,219,1st Avenue N,Seattle,98109, 71.00 ,Ranjiv Hayre,5439
King,K-S,Burien,R,126,Apr-2017,Burien Town Square,457 SW,152nd Street,Burien,98166, 279.00 ,Pillar Properties,5440
King,K-C,Queen Anne,U,317,Jul-2017,One Lakefront,1287,Westlake Avenue N,Seattle,98109, 67.00 ,Holland Residential,5442
King,K-C,Capitol Hill/Eastlake,U,49,Jul-2017,1722,1722,Summit Avenue,Seattle,98122, 74.00 ,Neiman Taber Architecture,5443
King,K-C,First Hill,U,112,Feb-2018,423,423,Terry Avenue,Seattle,98104, 85.00 ,Sharkey Properties,5446
King,K-C,Capitol Hill/Eastlake,X,32,Jan-2050,,3120,Harvard Avenue E,Seattle,98102, 61.00 ,Traditional Urban Builders,5451
Pierce,Pie,Stadium District,C,117,Jan-2050,Broadview,212,Stadium Way S,Tacoma,98402, 615.00 ,O'Connor and Associates,5500
King,K-E,Woodinville/Totem Lake,T,91,Dec-2017,Athene,12531 NE,124th Street,Kirkland,98034, 219.03 ,Imagine Housing,5507
Snohomish,Sno,Silver Lake,C,51,Jan-2050,Melody at Penny Creek II,3309,132nd Street SE,Everett,98208, 416.06 ,Real Property Investments,5508
Pierce,Pie,North Tacoma,U,94,Jan-2019,,4900,Main Street,Tacoma,98407, 603.00 ,MC Construction Consultants,5514
King,K-C,Belltown/Dwntn/S Lk Union,U,206,Dec-2017,624 Yale,624,Yale Avenue N,Seattle,98109, 73.00 ,Blume Company,5517
King,K-S,Burien,T,80,Jan-2050,Burien TOD,300 SW,150th Street,Burien,98166, 279.00 ,Alliance Property Group,5523
Pierce,Pie,Parkland/Spanaway,U,234,May-2018,Rosemont I,17412,44th Avenue E,Tacoma,98446, 714.06 ,Tarragon,5527
King,K-E,Bellevue-West,U,154,Sep-2017,Evergreen Plaza,10845 NE,2nd Place,Bellevue,98004, 238.02 ,Evergreen Point Development,5531
Pierce,Pie,Puyallup/Sumner,x,240,Apr-2020,Cedar Springs,8127,179th Street E,Puyallup,98375, 731.09 ,Cedar Springs Associates,5544
King,K-SE,Renton,A,53,Feb-2017,Taylor Creek,7050 S,116th Place,Seattle,98178, 260.01 ,CHG Building Systems,5547
King,K-E,Redmond,x,213,Jan-2050,Redmond City Center,16135 NE,85th Street,Redmond,98052, 323.09 ,Cosmos Development,5552
King,K-C,Belltown/Dwntn/S Lk Union,H,150,Jan-2050,2nd & Virginia - South tower,1933,2nd Avenue,Seattle,98101, 80.02 ,Columbia West Properties,5568
King,K-N,North Seattle,X,85,Sep-2018,,9039,Greenwood Avenue N,Seattle,98103, 17.00 ,Pastakia & Associates,5571
King,K-SE,Renton,S,77,Jan-2050,,10500 SE,180th Street,Renton,98055, 293.03 ,King County Housing Authority,5575
Pierce,Pie,Puyallup/Sumner,X,151,Oct-2019,Emerald Pointe at Sunrise,11150,Sunrise Blvd E,Puyallup,98374, 731.12 ,Oakpointe,5576
King,K-N,Greenlake/Wallingford,X,293,Oct-2019,Iron Flats,802 NE,66th Street,Seattle,98115, 36.00 ,Emerald Bay Equity,5578
King,K-C,Capitol Hill/Eastlake,x,20,May-2019,11th & Republican,505,11th Avenue E,Seattle,98102, 75.00 ,Nik | Chick,5582
Snohomish,Sno,Edmonds,X,2600,Jan-2050,Point Wells,20500,Richmond Beach Road NW,Edmonds,98020, 506.00 ,Blue Square Real Estate,5587
King,K-E,Factoria,X,230,Jan-2050,Kenneydale,1901 NE,48th Street,Renton,98056, 247.02 ,Seelig Properties,5599
King,K-C,Capitol Hill/Eastlake,X,26,May-2018,Roxette,1720 E,Denny Way,Seattle,98122, 76.00 ,Hamilton Urban Partners,5600
King,K-N,Greenlake/Wallingford,X,28,May-2018,,3618,2nd Avenue NW,Seattle,98107, 48.00 ,MRN Homes,5608
King,K-C,Belltown/Dwntn/S Lk Union,U,256,Jun-2017,Cascade I,221,Minor Avenue N,Seattle,98109, 73.00 ,Equity Residential,5609
King,K-C,Queen Anne,U,82,Apr-2017,Broadstone Clarendon,105,Warren Avenue N,Seattle,98109, 71.00 ,Alliance Residential,5616
Snohomish,Sno,Marysville/Monroe,R,228,Jan-2050,,11929,Smokey Point Blvd,Marysville,98271, 528.04 ,Dujardin Homes,5617
King,K-C,First Hill,C,287,Sep-2020,800 Columbia,800,Columbia Street,Seattle,98104, 85.00 ,Daniels Real Estate,5619
Pierce,Pie,Mid Tacoma,X,83,Mar-2019,McCarver Heights,2330,Yakima Court,Tacoma,98405, 617.00 ,McCormick International,5640
King,K-S,West Seattle,U,20,Sep-2017,,4122,36th Avenue SW,Seattle,98126, 98.00 ,,5650
King,K-C,Belltown/Dwntn/S Lk Union,X,242,Jan-2020,,427,9th Avenue N,Seattle,98109, 72.00 ,Create World America,5657
King,K-C,Belltown/Dwntn/S Lk Union,U,49,Oct-2017,,525,Boren Avenue N,Seattle,98109, 73.00 ,Wilshire Capital Partners,5658
King,K-C,Capitol Hill/Eastlake,U,61,May-2017,Shelton Eastlake,2359,Franklin Avenue E,Seattle,98102, 61.00 ,Shilshole Development LLC,5661
King,K-E,Issaquah,A,344,Feb-2017,Atlas,1118,7th Avenue NW,Issaquah,98027, 321.03 ,Lennar Multifamily,5662
King,K-C,Capitol Hill/Eastlake,X,138,Mar-2019,,1401 E,Madison Street,Seattle,98122, 75.00 ,Equity Residential,5663
King,K-E,Issaquah,C,176,Jan-2050,Brownstone at Issaquah Highlands,1380 NE,Brooklyn Loop,Issaquah,, 322.10 ,,5664
King,K-C,Belltown/Dwntn/S Lk Union,X,465,Jan-2050,Block 48,101,Westlake Avenue N,Seattle,98109, 72.00 ,Vulcan Northwest,5665
King,K-C,Queen Anne,U,385,Jul-2017,Westlake Steps/Marina SLU,1209,Westlake Avenue N,Seattle,98109, 67.00 ,Holland Residential,5669
Pierce,Pie,Downtown Tacoma,C,200,Jan-2050,,1501,Broadway,Tacoma,98402, 616.02 ,,5671
King,K-N,Greenlake/Wallingford,X,56,Apr-2018,Fremont,743 N,35th Street,Seattle,98103, 49.00 ,Hardy Development Companies,5673
Pierce,Pie,Fircrest/University Place,C,34,Jan-2050,Morrison Townhomes,7406,29th Street W,University Place,98466, 723.11 ,,5674
King,K-SE,Federal Way,R,500,Jan-2050,,1524 S,328th Street,Federal Way,98003, 303.03 ,,5675
King,K-N,University,S,133,Mar-2018,Arbora Court,4738,15th Avenue NE,Seattle,98105, 53.01 ,Bellwether Housing,5676
Pierce,Pie,Puyallup/Sumner,U,130,Oct-2017,Arbors at Edgewood II,2013,Meridian Avenue E,Edgewood,98371, 707.01 ,Eagle Creek Land & Development,5677
King,K-C,Capitol Hill/Eastlake,U,45,Sep-2017,Waterton,2203,Eastlake Avenue E,Seattle,98102, 66.00 ,Metropolitan Homes,5678
King,K-N,North Seattle,X,20,Jul-2018,,8521,Roosevelt Way NE,Seattle,98115, 19.00 ,MRN Homes,5680
King,K-S,Rainier Valley,X,30,Jun-2019,Henderson Mixed Use,4354 S,Henderson Street,Seattle,98118, 117.00 ,Eagle Ridge Plaza,5683
King,K-E,Factoria,U,76,May-2017,Tria,12833,Newcastle Way,Newcastle,98056, 250.01 ,Goodman Real Estate,5684
King,K-C,Belltown/Dwntn/S Lk Union,X,202,Oct-2019,Rainier Square,1301,5th Avenue,Seattle,98101, 81.00 ,Wright Runstad,5685
King,K-N,Greenlake/Wallingford,U,124,Apr-2017,Hayes on Stone Way,3627,Stone Way N,Seattle,98103, 54.00 ,Pollard Entities,5686
King,K-N,University,U,28,Feb-2018,Lavender Suites,4519,18th Avenue NE,Seattle,98105, 53.01 ,Money Grass Investment,5687
King,K-N,Shoreline,X,72,Jan-2050,205,1795 NE,205th Street,Shoreline,98026, 204.01 ,Goodman Real Estate,5691
King,K-C,Belltown/Dwntn/S Lk Union,X,406,Mar-2021,,1001,John Street,Seattle,98109, 73.00 ,Mack Urban,5696
King,K-N,University,U,98,Feb-2018,DXU,4230,11th Avenue NE,Seattle,98105, 53.01 ,Arion Investments LLC,5697
King,K-C,Belltown/Dwntn/S Lk Union,X,294,Jan-2050,Block 56E,401,8th Avenue N,Seattle,98109, 72.00 ,Vulcan Northwest,5698
King,K-N,Greenlake/Wallingford,U,79,May-2017,Medora,6800,Roosevelt Way NE,Seattle,98115, 36.00 ,Emerald Bay Equity,5699
Pierce,Pie,Fircrest/University Place,R,142,Jan-2050,Grandview Senior Living,8427,27th Street W,University Place,98466, 723.09 ,,5700
King,K-E,Bellevue-West,X,435,Feb-2020,Elev8,752,108th Avenue NE,Bellevue,98004, 238.02 ,Plus Investments USA,5702
King,K-N,Ballard,U,48,Sep-2017,,1731 NW,57th Street,Seattle,98107, 47.00 ,Meter LLC,5706
King,K-N,Greenlake/Wallingford,U,27,Jul-2017,Red Cedar,3635,Phinney Avenue N,Seattle,98103, 49.00 ,Build Urban,5708
King,K-C,Queen Anne,U,182,Sep-2017,Uptown Flats,300,1st Avenue W,Seattle,98119, 71.00 ,Greystar Development,5709
King,K-N,University,X,37,May-2018,,4046,8th Avenue NE,Seattle,98105, 52.00 ,Build Urban,5710
King,K-C,Capitol Hill/Eastlake,U,57,Jul-2017,,1420 E,Howell Street,Seattle,98122, 75.00 ,Greenbuild Development,5711
King,K-N,University,X,20,Jan-2050,,4320,8th Avenue NE,Seattle,98105, 52.00 ,S & B Capital Inc,5712
King,K-C,Capitol Hill/Eastlake,U,51,Feb-2018,12th Ave,121,12th Avenue E,Seattle,98102, 75.00 ,Hardy Development Companies,5713
King,K-E,Issaquah,R,146,Nov-2017,,2450,Newport Way NW,Issaquah,98027, 321.03 ,Wolff,5715
King,K-N,Greenlake/Wallingford,U,130,Aug-2017,Eddy at Green Lake Village,419 NE,71st Street,Seattle,98115, 36.00 ,Wallace Properties,5716
King,K-C,Capitol Hill/Eastlake,X,59,Apr-2019,Bellevue Place,736,Bellevue Place E,Seattle,98102, 66.00 ,Walls Property Management,5717
King,K-C,Capitol Hill/Eastlake,U,34,Aug-2018,11th & Aloha,750,11th Avenue E,Seattle,98102, 65.00 ,Hardy Development Companies,5718
King,K-N,Ballard,U,33,Sep-2017,Bespoke,1506 NW,61st Street,Seattle,98107, 33.00 ,Xander Real Holdings LLC,5719
King,K-N,Ballard,U,132,Jun-2017,Modera Ballard,2003 NW,57th Street,Seattle,98107, 47.00 ,Mill Creek Residential Trust,5720
King,K-N,Greenlake/Wallingford,M,105,Aug-2017,NOVO,6105,Roosevelt Way NE,Seattle,98115, 36.00 ,CWD Investments,5721
King,K-N,North Seattle,U,41,Jul-2017,Cubix 95,714 N,95th Street,Seattle,98103, 13.00 ,Parkstone Properties,5722
King,K-S,Rainier Valley,X,91,Aug-2018,Sonata East,3004 S,Alaska Street,Seattle,98108, 101.00 ,BDR Capital Partners LLC,5726
King,K-N,Greenlake/Wallingford,U,81,Mar-2018,LIV Roosevelt,6404,9th Avenue NE,Seattle,98115, 36.00 ,Paar Development,5728
King,K-C,Queen Anne,U,75,Jul-2017,Cora,19 W,Harrison Street,Seattle,98119, 71.00 ,Barrientos + Ryan,5729
King,K-C,Belltown/Dwntn/S Lk Union,X,54,May-2018,Cannery,213 S,Main Street,Seattle,98104, 92.00 ,Amundson Properties,5730
King,K-C,Capitol Hill/Eastlake,X,61,Jan-2019,Robin's Nest,3272,Fuhrman Avenue E,Seattle,98102, 61.00 ,GranCorp Real Estate,5731
King,K-E,Redmond,U,222,Jun-2018,Alexan Marymoor,6499 E,Lake Sammamish Parkway NE,Redmond,98052, 323.13 ,Trammel Crow Residential,5732
King,K-C,Central,X,230,Dec-2020,Yesler Terrace Block 4,900 E,Yesler Way,Seattle,98122, 86.00 ,Vulcan Northwest,5733
King,K-E,Bellevue-West,X,158,Jan-2019,Eight-Eighty-Eight,888,108th Avenue NE,Bellevue,98004, 238.02 ,CD Heritage,5734
