layer,source,url
population_total,census,
population_hispanic,census,
population_white,census,
population_black,census,
population_asian,census,
population_race_other,census,
population_male,census,
population_female,census,
population_under18,census,
population_25andover,census,
population_65andover,census,
population_edu_associate,census,
population_edu_bachelor,census,
population_edu_nodiploma,census,
population_highschool,census,
population_somecollege,census,
population_advanced,census,
household_total,census,
household_family,census,
household_married_family,census,
household_male_family,census,
household_female_family,census,
household_nonfamily,census,